header_ratio_histogram
| Family | Groups | <.5 | .5–.75 | .75–.875 | .875–1 | 1–1.125 | 1.125–1.5 | 1.5–2 | ≥2 |
|---|---|---|---|---|---|---|---|---|---|
| lm_head | 4,966,400 | 0.0009 | 3.5080 | 16.4100 | 29.8424 | 27.1847 | 22.4958 | 0.5575 | 0.0007 |
| linear_attn.in_proj_a | 46,080 | 0.0000 | 2.8103 | 15.7856 | 31.0569 | 28.3767 | 21.5690 | 0.3993 | 0.0022 |
| linear_attn.in_proj_b | 46,080 | 0.0022 | 2.7148 | 15.6359 | 31.1372 | 28.9258 | 21.2153 | 0.3689 | 0.0000 |
| linear_attn.in_proj_qkv | 9,830,400 | 0.0007 | 3.4358 | 16.4252 | 30.0801 | 27.3174 | 22.2143 | 0.5260 | 0.0005 |
| linear_attn.in_proj_z | 5,898,240 | 0.0005 | 3.3994 | 16.3599 | 30.1158 | 27.3827 | 22.2243 | 0.5169 | 0.0006 |
| linear_attn.out_proj | 5,898,240 | 0.0006 | 3.3618 | 16.3691 | 30.1805 | 27.4095 | 22.1756 | 0.5024 | 0.0005 |
| mlp.down_proj | 22,282,240 | 0.0006 | 3.4740 | 16.4594 | 29.9534 | 27.2461 | 22.3313 | 0.5345 | 0.0007 |
| mlp.gate_proj | 22,282,240 | 0.0006 | 3.4843 | 16.4818 | 29.9608 | 27.2356 | 22.3017 | 0.5346 | 0.0006 |
| mlp.up_proj | 22,282,240 | 0.0007 | 3.5081 | 16.4764 | 29.9331 | 27.1798 | 22.3562 | 0.5452 | 0.0006 |
| self_attn.k_proj | 327,680 | 0.0003 | 3.1784 | 16.1221 | 30.6943 | 27.8198 | 21.7239 | 0.4611 | 0.0000 |
| self_attn.o_proj | 1,966,080 | 0.0006 | 3.5211 | 16.5966 | 30.0123 | 27.1591 | 22.1849 | 0.5251 | 0.0004 |
| self_attn.q_proj | 3,932,160 | 0.0005 | 3.3421 | 16.3169 | 30.3275 | 27.5539 | 21.9637 | 0.4946 | 0.0008 |
| self_attn.v_proj | 327,680 | 0.0006 | 3.4280 | 16.3049 | 30.3836 | 27.4582 | 21.9287 | 0.4953 | 0.0006 |


header_normalized_histogram
| Family | Half | <.5 | .5–.75 | .75–.875 | .875–.9375 | .9375–.96875 | .96875–1 | =1 |
| linear_attn.in_proj_a | 0.0388 / 0.157 | 0.9837 / 4.506 | 1.1605 / 6.484 | 1.2584 / 6.977 | 1.1605 / 6.484 | 11.3848 / 54.998 | 11.5988 / 66.052 | 16.3970 / 52.240 |
| linear_attn.in_proj_b | 0.0394 / 0.173 | 0.9825 / 5.076 | 1.1182 / 6.089 | 1.2091 / 6.159 | 1.1182 / 6.089 | 10.7262 / 54.197 | 10.5394 / 65.792 | 15.7304 / 53.403 |
| linear_attn.in_proj_qkv | 0.0364 / 0.162 | 1.0163 / 5.167 | 1.1695 / 6.482 | 1.2786 / 8.200 | 1.1695 / 6.482 | 9.9257 / 54.276 | 9.5882 / 66.295 | 13.8920 / 52.100 |
| linear_attn.in_proj_z | 0.0372 / 0.178 | 1.0067 / 4.683 | 1.1645 / 6.576 | 1.2814 / 8.147 | 1.1645 / 6.576 | 11.7584 / 54.003 | 11.3294 / 66.337 | 16.2026 / 53.431 |
| linear_attn.out_proj | 0.0382 / 0.181 | 1.0176 / 4.808 | 1.1544 / 6.410 | 1.2752 / 6.595 | 1.1544 / 6.410 | 13.1432 / 55.853 | 12.9669 / 66.372 | 18.5138 / 55.266 |
| mlp.down_proj | 0.0435 / 0.178 | 1.0038 / 5.423 | 1.1373 / 6.579 | 1.2881 / 8.316 | 1.1373 / 6.579 | 13.7478 / 57.408 | 12.7786 / 66.585 | 17.9168 / 55.326 |
| mlp.gate_proj | 0.0414 / 0.182 | 0.9916 / 5.071 | 1.1469 / 6.334 | 1.2771 / 7.980 | 1.1469 / 6.334 | 9.4235 / 56.381 | 8.9052 / 66.235 | 13.1460 / 54.407 |
| mlp.up_proj | 0.0427 / 0.181 | 1.0012 / 5.139 | 1.1391 / 6.325 | 1.2744 / 8.783 | 1.1391 / 6.325 | 8.8232 / 55.875 | 8.3735 / 66.503 | 12.5467 / 53.360 |
| self_attn.k_proj | 0.0376 / 0.168 | 0.9951 / 4.914 | 1.1376 / 6.383 | 1.2606 / 7.017 | 1.1376 / 6.383 | 11.5503 / 58.434 | 11.2122 / 66.611 | 16.2321 / 53.107 |
| self_attn.o_proj | 0.0379 / 0.169 | 1.0033 / 5.058 | 1.1561 / 6.575 | 1.2853 / 8.232 | 1.1561 / 6.575 | 13.3811 / 54.461 | 13.4343 / 66.404 | 18.8063 / 55.090 |
| self_attn.q_proj | 0.0395 / 0.181 | 0.9836 / 5.197 | 1.1379 / 6.549 | 1.2499 / 7.983 | 1.1379 / 6.549 | 10.8817 / 54.981 | 10.5693 / 66.118 | 15.2117 / 52.690 |
| self_attn.v_proj | 0.0371 / 0.174 | 1.0084 / 4.690 | 1.1433 / 6.520 | 1.2612 / 7.690 | 1.1433 / 6.520 | 10.8090 / 54.054 | 10.5444 / 66.556 | 14.8726 / 51.489 |


all_tail
| Family | fixture | C0 | C1 | C2 | C3 | C4 | C4z | C4s |
|---|---|---|---|---|---|---|---|---|
| lm_head | 1.066109e-06 | 1.245383e-06 | 3.134519e-06 | 1.479320e-06 | 1.570450e-06 | 3.210645e-05 | 3.992060e-05 | 4.118185e-05 |
| linear_attn.in_proj_a | 8.116900e-06 | 8.068603e-06 | 1.111479e-05 | 8.457520e-06 | 9.187647e-06 | 8.818868e-05 | 1.232229e-04 | 1.050030e-04 |
| linear_attn.in_proj_b | 1.077811e-05 | 1.039132e-05 | 1.200151e-05 | 1.052105e-05 | 1.134141e-05 | 3.790913e-05 | 5.108850e-05 | 4.561217e-05 |
| linear_attn.in_proj_qkv | 2.547409e-06 | 2.740661e-06 | 5.079525e-06 | 3.040057e-06 | 3.264865e-06 | 4.723046e-05 | 6.182398e-05 | 5.991140e-05 |
| linear_attn.in_proj_z | 3.115805e-06 | 3.241690e-06 | 5.217227e-06 | 3.506387e-06 | 3.741359e-06 | 4.584855e-05 | 5.843833e-05 | 5.871230e-05 |
| linear_attn.out_proj | 3.750681e-06 | 3.906367e-06 | 6.778897e-06 | 4.243124e-06 | 4.593132e-06 | 6.488765e-05 | 8.315813e-05 | 8.201383e-05 |
| mlp.down_proj | 8.068611e-07 | 9.380892e-07 | 2.015999e-06 | 1.114937e-06 | 1.169539e-06 | 3.740107e-05 | 4.384116e-05 | 4.684594e-05 |
| mlp.gate_proj | 7.929687e-07 | 9.204719e-07 | 2.078376e-06 | 1.090774e-06 | 1.148766e-06 | 2.325848e-05 | 2.783482e-05 | 3.013804e-05 |
| mlp.up_proj | 5.114960e-07 | 6.534158e-07 | 1.632379e-06 | 8.223198e-07 | 8.481385e-07 | 1.910447e-05 | 2.083079e-05 | 2.623323e-05 |
| self_attn.k_proj | 3.918948e-06 | 4.024115e-06 | 6.736775e-06 | 4.334837e-06 | 4.681393e-06 | 5.894558e-05 | 8.437349e-05 | 6.926956e-05 |
| self_attn.o_proj | 7.616509e-06 | 7.582610e-06 | 1.186120e-05 | 7.942575e-06 | 8.705413e-06 | 7.967964e-05 | 1.091081e-04 | 9.741103e-05 |
| self_attn.q_proj | 5.755188e-06 | 5.708750e-06 | 7.916308e-06 | 5.949073e-06 | 6.438626e-06 | 4.869171e-05 | 6.692692e-05 | 5.914769e-05 |
| self_attn.v_proj | 3.396850e-06 | 3.717794e-06 | 7.696526e-06 | 4.209018e-06 | 4.502089e-06 | 7.786202e-05 | 1.027569e-04 | 9.850718e-05 |


all_maxcoef
| Family | fixture | C0 | C1 | C2 | C3 | C4 | C4z | C4s |
|---|---|---|---|---|---|---|---|---|
| lm_head | 0.0417 / 0.191 | 1.0032 / 6.235 | 1.1433 / 6.624 | 1.2827 / 9.828 | 1.1433 / 6.624 | 8.4424 / 57.779 | 8.1292 / 66.631 | 12.0226 / 56.603 |
| linear_attn.in_proj_a | 0.0393 / 0.182 | 1.0055 / 5.207 | 1.1440 / 6.516 | 1.2717 / 7.789 | 1.1440 / 6.516 | 12.1908 / 57.973 | 12.5209 / 66.428 | 17.8985 / 56.948 |
| linear_attn.in_proj_b | 0.0398 / 0.180 | 1.0076 / 5.310 | 1.1407 / 6.468 | 1.2625 / 7.821 | 1.1407 / 6.468 | 11.9459 / 58.415 | 12.2142 / 66.490 | 17.5860 / 55.034 |
| linear_attn.in_proj_qkv | 0.0364 / 5.613 | 1.0041 / 6.532 | 1.1467 / 38.304 | 1.2561 / 61.790 | 1.1467 / 6.639 | 10.1588 / 60.252 | 9.8958 / 66.633 | 14.1134 / 57.462 |
| linear_attn.in_proj_z | 0.0377 / 0.190 | 1.0035 / 6.147 | 1.1469 / 31.161 | 1.2636 / 22.398 | 1.1468 / 6.631 | 11.1612 / 60.077 | 10.8641 / 66.638 | 15.4340 / 58.186 |
| linear_attn.out_proj | 0.0368 / 0.190 | 1.0035 / 5.820 | 1.1462 / 42.005 | 1.2578 / 9.717 | 1.1462 / 6.639 | 12.8900 / 59.472 | 12.5514 / 66.641 | 17.6152 / 57.004 |
| mlp.down_proj | 0.0441 / 0.193 | 1.0049 / 6.091 | 1.1465 / 42.946 | 1.3018 / 10.463 | 1.1465 / 6.633 | 13.2649 / 60.984 | 12.0761 / 66.649 | 17.1450 / 58.245 |
| mlp.gate_proj | 0.0430 / 0.193 | 1.0049 / 6.024 | 1.1472 / 45.111 | 1.2962 / 10.583 | 1.1472 / 6.651 | 9.6079 / 60.811 | 9.0320 / 66.647 | 13.3556 / 58.786 |
| mlp.up_proj | 0.0438 / 0.193 | 1.0045 / 6.202 | 1.1460 / 44.926 | 1.2998 / 10.313 | 1.1459 / 6.628 | 8.5890 / 59.894 | 8.1107 / 66.646 | 12.2017 / 57.765 |
| self_attn.k_proj | 0.0380 / 0.186 | 1.0087 / 5.874 | 1.1525 / 6.581 | 1.2696 / 9.417 | 1.1525 / 6.581 | 11.8651 / 58.434 | 11.5802 / 66.611 | 16.4161 / 55.518 |
| self_attn.o_proj | 0.0380 / 0.188 | 1.0029 / 5.914 | 1.1456 / 44.003 | 1.2629 / 9.950 | 1.1456 / 6.627 | 13.0719 / 61.278 | 13.0975 / 66.627 | 18.7389 / 57.941 |
| self_attn.q_proj | 0.0387 / 0.187 | 1.0041 / 6.210 | 1.1474 / 42.968 | 1.2699 / 18.394 | 1.1474 / 6.641 | 11.1120 / 60.022 | 10.8422 / 66.636 | 15.5267 / 56.806 |
| self_attn.v_proj | 0.0378 / 0.190 | 1.0042 / 5.653 | 1.1478 / 28.930 | 1.2656 / 8.799 | 1.1478 / 6.532 | 11.3571 / 57.620 | 11.1547 / 66.606 | 15.6954 / 55.673 |
