    PID    PPID STAT     ELAPSED COMMAND
 140659       2 I<      06:39:34 [kworker/26:1H-kblockd]
 156291       2 I       05:36:04 [kworker/0:2-cgroup_bpf_destroy]
 158838       2 I       05:25:45 [kworker/19:2-events]
 158839       2 I       05:25:45 [kworker/1:0-memcg]
 166203       2 I       04:55:45 [kworker/22:1-cgroup_bpf_destroy]
 187163       2 I       03:30:38 [kworker/8:2-mm_percpu_wq]
 188364       2 I       03:25:45 [kworker/17:1-cgroup_release]
 190871       2 I       03:15:38 [kworker/31:0-cgroup_bpf_destroy]
 194289       2 I       03:01:45 [kworker/31:1-memcg]
 195761       2 I       02:55:45 [kworker/13:2]
 195886       2 I       02:55:14 [kworker/u130:1-events_power_efficient]
 205532       2 I       02:16:03 [kworker/12:1-events]
 207975       2 I       02:06:10 [kworker/12:0-cgroup_bpf_destroy]
 209841       2 I       01:58:45 [kworker/15:1-events]
 210525       2 I       01:56:00 [kworker/16:0]
 211444       2 I       01:52:16 [kworker/1:2-cgroup_bpf_destroy]
 215446       2 I       01:36:06 [kworker/0:1-events]
 217927       2 I       01:25:58 [kworker/2:1-cgroup_release]
 222892       2 I       01:05:48 [kworker/6:0-cgroup_release]
 225355       2 I          55:45 [kworker/16:1-events]
 227761       2 I          46:03 [kworker/10:0-mm_percpu_wq]
 232685       2 I          26:03 [kworker/u129:3-events_power_efficient]
 232691       2 I          26:00 [kworker/24:1-mm_percpu_wq]
 233209       2 I          23:54 [kworker/u128:2-bond0]
 234224       2 I          19:54 [kworker/u129:1-writeback]
 235270       2 I          15:45 [kworker/24:0-mm_percpu_wq]
 235278       2 D<         15:44 [kworker/u132:0+ttm]
 235279       2 D<         15:44 [kworker/u132:1+ttm]
 235280       2 D<         15:44 [kworker/u132:2+ttm]
 235281       2 D<         15:44 [kworker/u132:3+ttm]
 235282       2 I<         15:44 [kworker/u132:4-ttm]
 235283       2 D<         15:44 [kworker/u132:5+ttm]
 235284       2 D<         15:44 [kworker/u132:6+ttm]
 235285       2 D<         15:44 [kworker/u132:7+ttm]
 235286       2 D<         15:44 [kworker/u132:8+ttm]
 235287       2 D<         15:44 [kworker/u132:10+ttm]
 235288       2 D<         15:44 [kworker/u132:11+ttm]
 235289       2 D<         15:44 [kworker/u132:12+ttm]
 235290       2 D<         15:44 [kworker/u132:13+ttm]
 235291       2 D<         15:44 [kworker/u132:14+ttm]
 235404       2 I          15:41 [kworker/19:0-mm_percpu_wq]
 235456       2 I          15:40 [kworker/4:0-cgroup_bpf_destroy]
 235457       2 I          15:40 [kworker/4:3-memcg]
 235966       2 I          15:14 [kworker/u130:3-events_unbound]
 236590       2 I          14:36 [kworker/20:2-cgroup_bpf_destroy]
 236592       2 I          14:36 [kworker/20:4-mm_percpu_wq]
 236759       2 I          14:02 [kworker/9:2-memcg]
 236780       2 I          14:02 [kworker/11:2-events]
 236781       2 I          14:02 [kworker/11:3-mm_percpu_wq]
 236788       2 I          14:02 [kworker/u128:0-bond0]
 237026       2 I          13:39 [kworker/29:0]
 238361       2 I          11:57 [kworker/6:2]
 238541       2 I          11:39 [kworker/30:1]
 238648       2 I          11:37 [kworker/17:2-mm_percpu_wq]
 239117       2 I          10:40 [kworker/21:0]
 239784       2 I          09:02 [kworker/u129:0-flush-252:0]
 240161       2 I          07:44 [kworker/14:2]
 240164       2 I<         07:44 [kworker/u133:7-KFD IH]
 240441       2 I          07:29 [kworker/3:1-mm_percpu_wq]
 240442       2 D<         07:29 [kworker/u132:16+ttm]
 240579       2 I          07:07 [kworker/7:1-events]
 240665       2 I          06:52 [kworker/u129:2-flush-252:0]
 240733       2 I          06:43 [kworker/5:2-events]
 240947       2 I          06:00 [kworker/25:0]
 241301       2 I          04:53 [kworker/19:1]
 241444       2 I          04:45 [kworker/u130:2]
 242046       2 I          03:26 [kworker/21:2-mm_percpu_wq]
 242210       2 I<         03:15 [kworker/u132:17]
 242299       2 I          03:00 [kworker/u128:1]
 242302       2 I          03:00 [kworker/9:1]
 243044       1 D          00:46 python3 /opt/rocm/bin/rocm-smi --showproductname --showmeminfo vram
 243055  243044 S          00:46 /usr/bin/python3 -c from multiprocessing.resource_tracker import main;main(8)
 243226    2835 S          00:03 sleep 10
 243262    1799 Sl         00:00 /usr/sbin/tailscaled be-child ssh --login-shell=/bin/bash --uid=1000 --gid=1000 --groups=1000,4,24,27,30,44,46,100,101,991 --local-user=kaden --home-dir=/home/kaden --remote-user=k9pilot44@gmail.com --remote-ip=100.102.198.34 --has-tty=false --tty-name= --force-v1-behavior --cmd=ps -eo pid,ppid,stat,etime,args
 243269  243262 R          00:00 ps -eo pid,ppid,stat,etime,args
